model_name,feature_set,fold,n_train,n_valid,threshold,accuracy,balanced_accuracy,precision,recall,f1_macro,f1,roc_auc
KNN,TEXT_AUDIO_STRUCT,4,40047,10016,0.05,0.4936102236421725,0.5001970831690974,0.49350908727781106,1.0,0.3308299564722661,0.6608718908799144,0.5436647491668032
XGB,TEXT_AUDIO_STRUCT,0,40042,10021,0.49999999999999994,0.5502444865781858,0.5497324656849067,0.5513137210869077,0.49456083803384365,0.5486046186808587,0.5213974726558351,0.5773376497453606
XGB,TEXT_AUDIO_STRUCT,1,40061,10002,0.48999999999999994,0.5649870025994801,0.5647929461095481,0.5393509127789047,0.5610888373074489,0.5645042788580685,0.5500051711655807,0.5919565843991568
XGB,TEXT_AUDIO_STRUCT,2,40041,10022,0.48999999999999994,0.5603671921772101,0.5592304165322104,0.5413135593220338,0.5327356130108424,0.5592436462793107,0.5369903320722993,0.5832575869290233
XGB,TEXT_AUDIO_STRUCT,3,40061,10002,0.49999999999999994,0.5577884423115377,0.5541115133763438,0.5357558816678314,0.48625792811839325,0.5535108181529191,0.5098082677601684,0.584805783155335
XGB,TEXT_AUDIO_STRUCT,4,40047,10016,0.48999999999999994,0.5609025559105432,0.560436738216923,0.558544984933276,0.5250910562525294,0.5600993006865629,0.5413016270337923,0.5870488881111553
LogReg,TEXT_AUDIO_STRUCT_SEMANTIC,0,40042,10021,0.5099999999999999,0.5766889531982836,0.5767969761957839,0.5705078125,0.588436744560838,0.5766722216649873,0.5793335977786592,0.6035628166062409
LogReg,TEXT_AUDIO_STRUCT_SEMANTIC,1,40061,10002,0.49999999999999994,0.5731853629274145,0.5744004827002797,0.5452445128994994,0.5975944292044735,0.5731650494416253,0.5702204771972214,0.6023040366247916
LogReg,TEXT_AUDIO_STRUCT_SEMANTIC,2,40041,10022,0.49999999999999994,0.5767311913789662,0.5765338716694324,0.5561638280616383,0.5719349457881568,0.5763666254897859,0.5639391447368421,0.6045819851790002
LogReg,TEXT_AUDIO_STRUCT_SEMANTIC,3,40061,10002,0.49999999999999994,0.5727854429114178,0.5729998043034004,0.5456908618276345,0.5769556025369978,0.5724715873246538,0.5608878840818005,0.6020832464461818
LogReg,TEXT_AUDIO_STRUCT_SEMANTIC,4,40047,10016,0.49999999999999994,0.5747803514376997,0.5750868131021465,0.5652838845345058,0.5983407527316876,0.5746758479661028,0.5813427700776566,0.5984461934235317
RandomForest,TEXT_AUDIO_STRUCT_SEMANTIC,0,40042,10021,0.49999999999999994,0.5634168246681968,0.5628985288899137,0.5662542182227221,0.5070507655116842,0.561782378741629,0.53501966202572,0.591948802188492
RandomForest,TEXT_AUDIO_STRUCT_SEMANTIC,1,40061,10002,0.5399999999999999,0.5738852229554089,0.5617876364946783,0.5896953742008274,0.3308714918759232,0.5429026896524126,0.4238983509056502,0.6011978818955199
RandomForest,TEXT_AUDIO_STRUCT_SEMANTIC,2,40041,10022,0.49999999999999994,0.5711434843344642,0.567461738590042,0.5604075691411936,0.481651376146789,0.5658755101758619,0.5180533751962323,0.5946788958907268
