,model_name,feature_set,fold,f1_macro,roc_auc,threshold
60,XGB,TEXT_AUDIO,1,0.5733426614459327,0.60930707144563,0.24000000000000005
61,XGB,TEXT_AUDIO,2,0.5611735971838858,0.6091204914569847,0.24000000000000005
62,XGB,TEXT_AUDIO,3,0.5709293597608707,0.6141171741578378,0.24000000000000005
63,XGB,TEXT_AUDIO,4,0.5639588506495445,0.6019887123465396,0.25000000000000006
64,XGB,TEXT_AUDIO,5,0.5710459043417966,0.6153028604641508,0.24000000000000005
65,XGB,TEXT_AUDIO_STRUCT,1,0.6225909189895471,0.6863538120715451,0.2800000000000001
66,XGB,TEXT_AUDIO_STRUCT,2,0.6064915206697811,0.6860766254137324,0.2900000000000001
67,XGB,TEXT_AUDIO_STRUCT,3,0.6108035784627781,0.6762035537145524,0.26000000000000006
68,XGB,TEXT_AUDIO_STRUCT,4,0.6087571629077797,0.6848687366641563,0.26000000000000006
69,XGB,TEXT_AUDIO_STRUCT,5,0.6052413620302854,0.6791211645020842,0.2800000000000001
70,XGB,TEXT_AUDIO_STRUCT_SEMANTIC,1,0.6216040478606495,0.6874532405369034,0.2700000000000001
71,XGB,TEXT_AUDIO_STRUCT_SEMANTIC,2,0.6147182271655378,0.6863197499492937,0.2700000000000001
72,XGB,TEXT_AUDIO_STRUCT_SEMANTIC,3,0.610713571184162,0.6729677373049366,0.2700000000000001
73,XGB,TEXT_AUDIO_STRUCT_SEMANTIC,4,0.6104545071116227,0.6837260464259303,0.2700000000000001
74,XGB,TEXT_AUDIO_STRUCT_SEMANTIC,5,0.5964221151278786,0.674520554479374,0.2900000000000001
75,XGB,FULL,1,0.6191492368569813,0.6812624371885094,0.2900000000000001
76,XGB,FULL,2,0.6075616628567841,0.6925771289339455,0.2800000000000001
77,XGB,FULL,3,0.6108308042050818,0.665287888928992,0.2700000000000001
78,XGB,FULL,4,0.6081906427708993,0.6788110689307636,0.2700000000000001
79,XGB,FULL,5,0.6033837603808266,0.6727800552783395,0.2700000000000001
80,SVM,TEXT_ONLY,1,0.5161296885202198,0.5127974799246577,0.2
81,SVM,TEXT_ONLY,2,0.5196423847495236,0.5255511929930534,0.2
82,SVM,TEXT_ONLY,3,0.5265781428635306,0.5303059233040253,0.2
83,SVM,TEXT_ONLY,4,0.5190487210207227,0.5257725131118992,0.2
84,SVM,TEXT_ONLY,5,0.5323315634654948,0.5331485422082539,0.2
85,SVM,TEXT_AUDIO,1,0.55360809285088,0.5596475716932621,0.2
86,SVM,TEXT_AUDIO,2,0.5498034412208191,0.5528984961706779,0.2
87,SVM,TEXT_AUDIO,3,0.5505023597749138,0.5610030807650848,0.2
88,SVM,TEXT_AUDIO,4,0.5540532286964515,0.5641017977545262,0.2
89,SVM,TEXT_AUDIO,5,0.554153983837905,0.5534539245589348,0.2
90,SVM,TEXT_AUDIO_STRUCT,1,0.5940650650208337,0.6265143113263849,0.2
91,SVM,TEXT_AUDIO_STRUCT,2,0.5814729564784927,0.6062734101471059,0.2
92,SVM,TEXT_AUDIO_STRUCT,3,0.5815259948926654,0.6076047609513797,0.2
93,SVM,TEXT_AUDIO_STRUCT,4,0.5799928197934361,0.6046417439399123,0.2
94,SVM,TEXT_AUDIO_STRUCT,5,0.5739486552122356,0.6108862465760201,0.2
95,SVM,TEXT_AUDIO_STRUCT_SEMANTIC,1,0.5989239247012541,0.6383366235071533,0.2
96,SVM,TEXT_AUDIO_STRUCT_SEMANTIC,2,0.5940825219215665,0.6258571136290566,0.2
97,SVM,TEXT_AUDIO_STRUCT_SEMANTIC,3,0.5865333133596665,0.6201722460532312,0.2
98,SVM,TEXT_AUDIO_STRUCT_SEMANTIC,4,0.5853530352452767,0.6170498417741671,0.2
99,SVM,TEXT_AUDIO_STRUCT_SEMANTIC,5,0.5791468715603715,0.6149406097930463,0.2
100,SVM,FULL,1,0.6031266199159196,0.6414467796261571,0.2
101,SVM,FULL,2,0.5878788987301834,0.6263806506526277,0.2
102,SVM,FULL,3,0.5911627754514723,0.6231882776390577,0.2
103,SVM,FULL,4,0.5883111883116651,0.6225013521579762,0.2
104,SVM,FULL,5,0.5766662916366091,0.6118285753151916,0.2
105,KNN,TEXT_ONLY,1,0.5207814545642898,0.5315401522205965,0.21000000000000002
106,KNN,TEXT_ONLY,2,0.5185024363727504,0.5307264242270722,0.21000000000000002
107,KNN,TEXT_ONLY,3,0.5281940236746374,0.545424457723874,0.21000000000000002
108,KNN,TEXT_ONLY,4,0.5206362900335797,0.5262991966865549,0.21000000000000002
109,KNN,TEXT_ONLY,5,0.5247586436183764,0.5436081438826806,0.21000000000000002
110,KNN,TEXT_AUDIO,1,0.5250070281477317,0.5466492696266858,0.21000000000000002
111,KNN,TEXT_AUDIO,2,0.5385374029550394,0.5442768307188957,0.21000000000000002
112,KNN,TEXT_AUDIO,3,0.5376504300652907,0.5472937448208909,0.21000000000000002
113,KNN,TEXT_AUDIO,4,0.522666884419652,0.5173898978303488,0.21000000000000002
114,KNN,TEXT_AUDIO,5,0.5324470826582448,0.5440866398313207,0.21000000000000002
115,KNN,TEXT_AUDIO_STRUCT,1,0.5674474449869179,0.5988815403219978,0.21000000000000002
116,KNN,TEXT_AUDIO_STRUCT,2,0.5604187307712364,0.5889785315278052,0.21000000000000002
117,KNN,TEXT_AUDIO_STRUCT,3,0.5534116340046247,0.5797197331400142,0.21000000000000002
118,KNN,TEXT_AUDIO_STRUCT,4,0.5496185193174283,0.573689510565512,0.21000000000000002
119,KNN,TEXT_AUDIO_STRUCT,5,0.5633452676845386,0.5918934818728916,0.21000000000000002
120,KNN,TEXT_AUDIO_STRUCT_SEMANTIC,1,0.5439979368825649,0.5664161025078999,0.21000000000000002
121,KNN,TEXT_AUDIO_STRUCT_SEMANTIC,2,0.5428718594382547,0.5680098596077591,0.21000000000000002
122,KNN,TEXT_AUDIO_STRUCT_SEMANTIC,3,0.5456484361167118,0.5632168118906337,0.21000000000000002
123,KNN,TEXT_AUDIO_STRUCT_SEMANTIC,4,0.5451350409265414,0.5580072800015623,0.21000000000000002
124,KNN,TEXT_AUDIO_STRUCT_SEMANTIC,5,0.5419645054147325,0.5662435550561837,0.21000000000000002
125,KNN,FULL,1,0.559321518853347,0.5803868235450864,0.21000000000000002
126,KNN,FULL,2,0.5505257844407341,0.5721990414959112,0.21000000000000002
127,KNN,FULL,3,0.5371252261049126,0.555032574514782,0.21000000000000002
128,KNN,FULL,4,0.5372176564389226,0.5388527417178732,0.21000000000000002
129,KNN,FULL,5,0.5490058789870647,0.5678983719477886,0.21000000000000002
