,path,company,year,quarter
2786,/home/aacastro/conferences_data/companies/SPGI/2024/Q3,SPGI,2024,Q3
2787,/home/aacastro/conferences_data/companies/SPGI/2023/Q4,SPGI,2023,Q4
2788,/home/aacastro/conferences_data/companies/SPGI/2023/Q2,SPGI,2023,Q2
2789,/home/aacastro/conferences_data/companies/SPGI/2023/Q1,SPGI,2023,Q1
2790,/home/aacastro/conferences_data/companies/SPGI/2023/Q3,SPGI,2023,Q3
2791,/home/aacastro/conferences_data/companies/SPGI/2021/Q4,SPGI,2021,Q4
2792,/home/aacastro/conferences_data/companies/SPGI/2021/Q2,SPGI,2021,Q2
2793,/home/aacastro/conferences_data/companies/SPGI/2021/Q1,SPGI,2021,Q1
2794,/home/aacastro/conferences_data/companies/SPGI/2021/Q3,SPGI,2021,Q3
2795,/home/aacastro/conferences_data/companies/SPGI/2018/Q4,SPGI,2018,Q4
2796,/home/aacastro/conferences_data/companies/SPGI/2020/Q4,SPGI,2020,Q4
2797,/home/aacastro/conferences_data/companies/SPGI/2020/Q2,SPGI,2020,Q2
2798,/home/aacastro/conferences_data/companies/SPGI/2020/Q1,SPGI,2020,Q1
2799,/home/aacastro/conferences_data/companies/SPGI/2022/Q4,SPGI,2022,Q4
2800,/home/aacastro/conferences_data/companies/SPGI/2022/Q2,SPGI,2022,Q2
2801,/home/aacastro/conferences_data/companies/SPGI/2022/Q1,SPGI,2022,Q1
2802,/home/aacastro/conferences_data/companies/SPGI/2022/Q3,SPGI,2022,Q3
2803,/home/aacastro/conferences_data/companies/HD/2019/Q4,HD,2019,Q4
2804,/home/aacastro/conferences_data/companies/HD/2019/Q2,HD,2019,Q2
2805,/home/aacastro/conferences_data/companies/HD/2019/Q3,HD,2019,Q3
2806,/home/aacastro/conferences_data/companies/HD/2024/Q1,HD,2024,Q1
2807,/home/aacastro/conferences_data/companies/HD/2024/Q3,HD,2024,Q3
2808,/home/aacastro/conferences_data/companies/HD/2023/Q4,HD,2023,Q4
2809,/home/aacastro/conferences_data/companies/HD/2023/Q1,HD,2023,Q1
2810,/home/aacastro/conferences_data/companies/HD/2023/Q3,HD,2023,Q3
2811,/home/aacastro/conferences_data/companies/HD/2021/Q2,HD,2021,Q2
2812,/home/aacastro/conferences_data/companies/HD/2021/Q1,HD,2021,Q1
2813,/home/aacastro/conferences_data/companies/HD/2021/Q3,HD,2021,Q3
2814,/home/aacastro/conferences_data/companies/HD/2020/Q4,HD,2020,Q4
2815,/home/aacastro/conferences_data/companies/HD/2020/Q2,HD,2020,Q2
2816,/home/aacastro/conferences_data/companies/HD/2020/Q1,HD,2020,Q1
2817,/home/aacastro/conferences_data/companies/HD/2020/Q3,HD,2020,Q3
2818,/home/aacastro/conferences_data/companies/TGT/2024/Q2,TGT,2024,Q2
2819,/home/aacastro/conferences_data/companies/TGT/2024/Q1,TGT,2024,Q1
2820,/home/aacastro/conferences_data/companies/TGT/2024/Q3,TGT,2024,Q3
2821,/home/aacastro/conferences_data/companies/TGT/2023/Q2,TGT,2023,Q2
2822,/home/aacastro/conferences_data/companies/TGT/2023/Q1,TGT,2023,Q1
