company,emotion,modality,hedges_g,ci_low,ci_high,p_value
JPM,neutral,text,-0.15319294847742893,-0.38919244467136627,0.08280654771650844,0.2001734392646437
JPM,surprise,audio,0.00468609134208504,-0.23096429747981337,0.24033648016398343,0.9688320836750347
JPM,surprise,text,-0.16680212437241637,-0.402866406721894,0.06926215797706126,0.16386131395526177
JPM,disgust,audio,-0.14408352331648644,-0.3800427241276278,0.09187567749465492,0.22935351097021342
JPM,disgust,text,-0.025412761754007862,-0.26107244624244175,0.210246922734426,0.8317028357274387
JPM,anger,audio,-0.022634695473268206,-0.2582923910874465,0.2130230001409101,0.8500910124227858
JPM,anger,text,-0.13248834049572472,-0.36839981362088764,0.1034231326294382,0.27032430061785967
JPM,sadness,audio,-0.030113464042717187,-0.2657770376373232,0.20555010955188882,0.8013885774649898
JPM,sadness,text,0.010820499089427546,-0.22483130714824795,0.24647230532710307,0.9279605456965965
JPM,fear,audio,-0.03729402934338858,-0.2729648147680327,0.19837675608125555,0.7552820883144946
JPM,fear,text,0.21694162344927975,-0.01940868506968446,0.45329193196824397,0.07066917792026711
WM,happy,audio,0.23215438704206007,0.052441297294006206,0.41186747679011393,0.011978419001957818
WM,happy,text,-0.03278072969503255,-0.21190045971340055,0.14633900032333547,0.7194576422218455
WM,neutral,audio,-0.1088028791554161,-0.28804367898794525,0.07043792067711303,0.23339054034230303
WM,neutral,text,0.22737933302053812,0.04769085366999001,0.40706781237108625,0.013009862291948589
WM,surprise,audio,-0.014552948891836658,-0.1936629705624171,0.16455707277874376,0.8734543906383364
WM,surprise,text,0.041060415897685484,-0.13806619324986846,0.2201870250452394,0.6530909039395008
WM,disgust,audio,-0.17327216571000775,-0.3527173303311135,0.0061729989110980155,0.05814783060463497
WM,disgust,text,-0.13160183818397247,-0.31090425769285623,0.047700581324911284,0.1489194653879047
WM,anger,audio,-0.13672502847790127,-0.31604289956027326,0.042592842604470715,0.13462075569862716
WM,anger,text,-0.05127007770184733,-0.23040729296799947,0.12786713756430482,0.5753596652114619
WM,sadness,audio,0.04432964988057396,-0.1348001002267057,0.22345939998785364,0.6281832573458992
WM,sadness,text,-0.13467239443168258,-0.3139840040746316,0.04463921521126646,0.14075032790229342
WM,fear,audio,0.1317207749661189,-0.04758199658169451,0.31102354651393227,0.15030321687107392
WM,fear,text,-0.19999921668166157,-0.3795563976416247,-0.02044203572169845,0.028452631591548837
V,happy,audio,-0.17033039924412585,-0.4404304959448427,0.09976969745659098,0.21428577002036978
V,happy,text,-0.09284431803565309,-0.3626061768411397,0.17691754076983357,0.4961385780655896
V,neutral,audio,0.14844470699399523,-0.12153971988164089,0.4184291338696313,0.2771220220261534
V,neutral,text,0.08417322329080389,-0.18556315915763377,0.3539096057392416,0.5407442511858196
V,surprise,audio,0.10241927038133798,-0.1673736168322254,0.37221215759490134,0.45811301807908145
V,surprise,text,0.09341126810420677,-0.1763523432870909,0.3631748794955044,0.4980708239152123
V,disgust,audio,0.013166807978084767,-0.25645482543155446,0.282788441387724,0.9222696901096082
V,disgust,text,-0.08927562851434263,-0.35902670029828687,0.18047544326960163,0.515552387590366
V,anger,audio,-0.07549357557353725,-0.3452069540496624,0.1942198029025879,0.5897657415767069
V,anger,text,-0.12540706285641673,-0.3952868476907242,0.14447272197789074,0.3673958709712349
V,sadness,audio,0.04068893141003506,-0.2289573139767196,0.3103351767967897,0.7688599095522051
V,sadness,text,-0.04659957130859241,-0.3162543830765716,0.22305524045938677,0.7345246136704983
V,fear,audio,-0.20418147222122573,-0.4744916328916366,0.06612868844918512,0.14045787520243866
V,fear,text,0.05095432984397629,-0.21870753538054116,0.32061619506849376,0.7154112920693485
FANG,happy,audio,0.05762364807708249,-0.1682030546668215,0.28345035082098646,0.6131974490944118
FANG,happy,text,-0.006322559585623288,-0.23210298603675475,0.2194578668655082,0.9564845530354806
FANG,neutral,audio,-0.0045869492953803225,-0.23036710861854146,0.22119321002778083,0.9682285954420349
FANG,neutral,text,0.1693464174587706,-0.05683767285721014,0.39553050777475135,0.14336944528461334
FANG,surprise,audio,0.03530508035469206,-0.19049236624188837,0.2611025269512725,0.7594224434151409
FANG,surprise,text,0.039414737184724,-0.18638704118943192,0.26521651555887993,0.7313829909706282
FANG,disgust,audio,-0.13778915648151432,-0.36383671102566584,0.08825839806263719,0.2314531278106899
FANG,disgust,text,-0.04947762158402242,-0.2752920180999194,0.17633677493187455,0.665826905290598
FANG,anger,audio,0.0155552098017208,-0.21022806627874505,0.24133848588218662,0.8917450401234844
FANG,anger,text,-0.2316145439779798,-0.4581499654403989,-0.005079122515560697,0.04483808785234359
FANG,sadness,audio,0.09509806222723378,-0.13080935114269138,0.321005475597159,0.40892335415982345
FANG,sadness,text,-0.031694890315221796,-0.2574889246926896,0.194099144062246,0.7835792942096242
FANG,fear,audio,-0.10912095006452577,-0.33506873841453344,0.1168268382854819,0.34550363309402227
FANG,fear,text,-0.10211950537519104,-0.32804644283112827,0.12380743208074615,0.3755374066607424
NFLX,happy,audio,-0.2073759176518123,-0.6761703222959594,0.26141848699233483,0.3860390228411876
NFLX,happy,text,-0.4394940248924973,-0.9128232777784291,0.03383522799343458,0.06874045348819699
NFLX,neutral,audio,0.15023057308674367,-0.3179432397126458,0.6184043858861331,0.5311771828649484
NFLX,neutral,text,0.23799560615023976,-0.23121247789729552,0.7072036901977751,0.3179357910312566
NFLX,surprise,audio,-0.15211839998527749,-0.6203095576201385,0.31607275764958354,0.5202249716309848
NFLX,surprise,text,0.4131545525397744,-0.05949917990916659,0.8858082849887154,0.08477433622447524
NFLX,disgust,audio,0.07442374600184376,-0.3932322562532871,0.5420797482569746,0.7537160303640085
NFLX,disgust,text,-0.26839449108858443,-0.7380691015081453,0.2012801193309764,0.2593779698749565
NFLX,anger,audio,0.0033738932287804817,-0.4641139206919314,0.4708617071494923,0.9886366468782387
NFLX,anger,text,-0.2960066264494317,-0.7661530688395171,0.1741398159406536,0.21190566414303294
NFLX,sadness,audio,-0.10153998124212651,-0.5693411188880271,0.366261156403774,0.6706669182325462
NFLX,sadness,text,-0.10060756423951941,-0.5684029695087012,0.3671878410296623,0.673643432905602
NFLX,fear,audio,0.31623284827427967,-0.15428817416785812,0.7867538707164174,0.18117069430785862
NFLX,fear,text,0.20478679433255015,-0.2639752234625334,0.6735488121276336,0.39112022743607494
FI,happy,audio,-0.3315476358259195,-0.6206949041807733,-0.04240036747106568,0.024908426278306976
FI,happy,text,-0.2359060369115041,-0.5240693044429362,0.05225723061992796,0.10654872377021667
FI,neutral,audio,0.14838230371009903,-0.13916945435627154,0.4359340617764696,0.3106944425250413
FI,neutral,text,0.05542074025912265,-0.23178598817199886,0.34262746869024413,0.7068653035783243
FI,surprise,audio,-0.02775646325845136,-0.3149212584470982,0.2594083319301954,0.8498147478724525
FI,surprise,text,0.36513891922844033,0.07556837366777852,0.6547094647891021,0.013097002857658337
FI,disgust,audio,0.040619749232725086,-0.2465610751378638,0.327800573603314,0.7802727465119345
FI,disgust,text,-0.14086020128747578,-0.42837235773436505,0.14665195515941348,0.33454167066266915
FI,anger,audio,0.03797260608561671,-0.24920442685647026,0.32514963902770366,0.7952860780739559
FI,anger,text,-0.20100460619125957,-0.4888907946088884,0.08688158222636924,0.1683534090642009
FI,sadness,audio,0.1696497902872735,-0.1180250444857992,0.4573246250603462,0.24789055122393489
FI,sadness,text,-0.03760413472947243,-0.32478066016660984,0.24957239070766496,0.7960225731775389
FI,fear,audio,-0.1890866428985976,-0.476888301700267,0.0987150159030718,0.19865189724356297
FI,fear,text,0.06419360493383303,-0.22303224461791393,0.35141945448558,0.6616305471252648
KDP,happy,audio,0.018110880237093046,-0.2802696754993042,0.31649143597349033,0.9056929551925552
KDP,happy,text,0.06187216122269218,-0.23657185545318205,0.3603161778985664,0.6909877446103918
KDP,neutral,audio,0.26982971188404653,-0.029862228278860092,0.5695216520469532,0.08626933673166136
KDP,neutral,text,0.3132279252879673,0.013079514417006,0.6133763361589286,0.03957567785659852
KDP,surprise,audio,-0.41302936708726185,-0.7144814980382732,-0.11157723613625048,0.011115860316405197
KDP,surprise,text,0.1355137543544252,-0.16319366495115728,0.4342211736600077,0.3819936593633186
KDP,disgust,audio,-0.18226118567355842,-0.48123755474666574,0.1167151833995489,0.22935552724792974
KDP,disgust,text,-0.2569235026278546,-0.556492683308998,0.04264567805328884,0.09894529028486211
KDP,anger,audio,0.01135856928733075,-0.2870183782389429,0.3097355168136044,0.9413962747509506
KDP,anger,text,-0.21265771278128712,-0.5118512382298279,0.08653581266725366,0.16883232884515728
KDP,sadness,audio,-0.008854468957050029,-0.30723049867079766,0.28952156075669755,0.9546215432029288
KDP,sadness,text,-0.16414630500142843,-0.4630090936084501,0.1347164836055932,0.29009905947018416
KDP,fear,audio,0.27703473788857,-0.02272832754060844,0.5767978033177485,0.08069265974162618
KDP,fear,text,-0.27770865314031623,-0.5774784661747694,0.022061159894136928,0.07168123855050043
WBD,happy,audio,-0.09972200890648064,-0.491808533102147,0.2923645152891857,0.6165973495079563
WBD,happy,text,0.025675204524115907,-0.36618036229955403,0.4175307713477859,0.8954480286382348
WBD,neutral,audio,0.11558679221496769,-0.27658466148473876,0.5077582459146741,0.5608722325030482
WBD,neutral,text,0.13355904961269988,-0.25872370796096056,0.5258418071863603,0.5002053503604094
WBD,surprise,audio,-0.403555017941154,-0.7994256288056051,-0.007684407076702926,0.03909458024607161
WBD,surprise,text,0.20058149956062196,-0.19225746199716268,0.5934204611184066,0.30886268445963216
WBD,disgust,audio,0.10441395599967829,-0.2876963842132671,0.4965242962126237,0.5933028008872983
WBD,disgust,text,0.2842639920089397,-0.10958064876914875,0.6781086327870282,0.1531965349339315
WBD,anger,audio,0.5049450478642392,0.10681229700046574,0.9030777987280127,0.014062867331141714
WBD,anger,text,0.24768433367376397,-0.14567831314992963,0.6410469804974576,0.2206715258845654
WBD,sadness,audio,-0.20342081813985782,-0.5962882478512741,0.18944661157155848,0.30520870033630265
WBD,sadness,text,-0.4451606222385293,-0.8418999457301806,-0.048421298746878005,0.026810421685732166
WBD,fear,audio,0.10192333258860022,-0.29017422923321795,0.49402089441041835,0.6010670897853266
