timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/02/25 17:19:28.619, 2, NVIDIA A10G, 0 %, 0 %, 1533 MiB, 23028 MiB
2026/02/25 17:19:28.619, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:29.620, 0, NVIDIA A10G, 19 %, 6 %, 1771 MiB, 23028 MiB
2026/02/25 17:19:29.620, 1, NVIDIA A10G, 0 %, 0 %, 1455 MiB, 23028 MiB
2026/02/25 17:19:29.620, 2, NVIDIA A10G, 0 %, 0 %, 1533 MiB, 23028 MiB
2026/02/25 17:19:29.620, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:30.620, 0, NVIDIA A10G, 20 %, 6 %, 1771 MiB, 23028 MiB
2026/02/25 17:19:30.620, 1, NVIDIA A10G, 0 %, 0 %, 1455 MiB, 23028 MiB
2026/02/25 17:19:30.620, 2, NVIDIA A10G, 0 %, 0 %, 1533 MiB, 23028 MiB
2026/02/25 17:19:30.620, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:31.620, 0, NVIDIA A10G, 23 %, 8 %, 1771 MiB, 23028 MiB
2026/02/25 17:19:31.620, 1, NVIDIA A10G, 0 %, 0 %, 1455 MiB, 23028 MiB
2026/02/25 17:19:31.620, 2, NVIDIA A10G, 0 %, 0 %, 1533 MiB, 23028 MiB
2026/02/25 17:19:31.620, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:32.621, 0, NVIDIA A10G, 0 %, 0 %, 1771 MiB, 23028 MiB
2026/02/25 17:19:32.621, 1, NVIDIA A10G, 43 %, 27 %, 1617 MiB, 23028 MiB
2026/02/25 17:19:32.621, 2, NVIDIA A10G, 0 %, 0 %, 1533 MiB, 23028 MiB
2026/02/25 17:19:32.621, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:33.621, 0, NVIDIA A10G, 0 %, 0 %, 1771 MiB, 23028 MiB
2026/02/25 17:19:33.621, 1, NVIDIA A10G, 16 %, 5 %, 1617 MiB, 23028 MiB
2026/02/25 17:19:33.621, 2, NVIDIA A10G, 0 %, 0 %, 1533 MiB, 23028 MiB
2026/02/25 17:19:33.621, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:34.621, 0, NVIDIA A10G, 0 %, 0 %, 1771 MiB, 23028 MiB
2026/02/25 17:19:34.621, 1, NVIDIA A10G, 21 %, 7 %, 1617 MiB, 23028 MiB
2026/02/25 17:19:34.621, 2, NVIDIA A10G, 21 %, 7 %, 1533 MiB, 23028 MiB
2026/02/25 17:19:34.622, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:35.622, 0, NVIDIA A10G, 19 %, 7 %, 1771 MiB, 23028 MiB
2026/02/25 17:19:35.622, 1, NVIDIA A10G, 19 %, 6 %, 1617 MiB, 23028 MiB
2026/02/25 17:19:35.622, 2, NVIDIA A10G, 20 %, 7 %, 1533 MiB, 23028 MiB
2026/02/25 17:19:35.622, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:36.622, 0, NVIDIA A10G, 18 %, 6 %, 1771 MiB, 23028 MiB
2026/02/25 17:19:36.622, 1, NVIDIA A10G, 20 %, 7 %, 1617 MiB, 23028 MiB
2026/02/25 17:19:36.622, 2, NVIDIA A10G, 16 %, 5 %, 1533 MiB, 23028 MiB
2026/02/25 17:19:36.622, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:37.622, 0, NVIDIA A10G, 21 %, 7 %, 1771 MiB, 23028 MiB
2026/02/25 17:19:37.623, 1, NVIDIA A10G, 18 %, 6 %, 1617 MiB, 23028 MiB
2026/02/25 17:19:37.623, 2, NVIDIA A10G, 18 %, 5 %, 1533 MiB, 23028 MiB
2026/02/25 17:19:37.623, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:38.623, 0, NVIDIA A10G, 17 %, 5 %, 1771 MiB, 23028 MiB
2026/02/25 17:19:38.623, 1, NVIDIA A10G, 19 %, 6 %, 1617 MiB, 23028 MiB
2026/02/25 17:19:38.623, 2, NVIDIA A10G, 19 %, 6 %, 1533 MiB, 23028 MiB
2026/02/25 17:19:38.623, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:39.623, 0, NVIDIA A10G, 0 %, 0 %, 1771 MiB, 23028 MiB
2026/02/25 17:19:39.623, 1, NVIDIA A10G, 21 %, 7 %, 1617 MiB, 23028 MiB
2026/02/25 17:19:39.623, 2, NVIDIA A10G, 17 %, 5 %, 1533 MiB, 23028 MiB
2026/02/25 17:19:39.623, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:40.624, 0, NVIDIA A10G, 0 %, 0 %, 1771 MiB, 23028 MiB
2026/02/25 17:19:40.624, 1, NVIDIA A10G, 22 %, 7 %, 1617 MiB, 23028 MiB
2026/02/25 17:19:40.624, 2, NVIDIA A10G, 18 %, 6 %, 1533 MiB, 23028 MiB
2026/02/25 17:19:40.624, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:41.624, 0, NVIDIA A10G, 0 %, 0 %, 1771 MiB, 23028 MiB
2026/02/25 17:19:41.624, 1, NVIDIA A10G, 23 %, 8 %, 1617 MiB, 23028 MiB
2026/02/25 17:19:41.624, 2, NVIDIA A10G, 18 %, 6 %, 1533 MiB, 23028 MiB
2026/02/25 17:19:41.624, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:42.624, 0, NVIDIA A10G, 0 %, 0 %, 1771 MiB, 23028 MiB
2026/02/25 17:19:42.624, 1, NVIDIA A10G, 19 %, 6 %, 1617 MiB, 23028 MiB
2026/02/25 17:19:42.625, 2, NVIDIA A10G, 17 %, 5 %, 1533 MiB, 23028 MiB
